City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Tigil,RU,57.8,158.6667,72.63,34,5,9.44,clear sky
293,Mehamn,NO,71.0357,27.8492,51.75,82,75,18.41,broken clouds
294,San Policarpo,PH,12.1791,125.5072,85.37,70,80,2.35,broken clouds
295,Flin Flon,CA,54.7682,-101.865,54.95,74,100,6.98,overcast clouds
296,Yaan,NG,7.3833,8.5667,71.58,96,99,6.62,light rain
297,Goderich,CA,43.7501,-81.7165,79.12,44,31,8.05,scattered clouds
298,Anadyr,RU,64.75,177.4833,50.5,71,75,10.22,broken clouds
299,Shama,CN,33.6102,104.2852,71.2,48,0,1.25,clear sky
300,Itarema,BR,-2.9248,-39.9167,79.12,80,26,17.13,scattered clouds
301,Sinop,TR,41.7711,34.8709,58.08,64,0,5.64,clear sky
302,Thompson,CA,55.7435,-97.8558,57.36,82,100,5.75,overcast clouds
303,Gopalpur,IN,19.2667,84.9167,82.87,80,100,5.28,moderate rain
304,Grimshaw,CA,56.1834,-117.6027,69.42,40,20,5.75,few clouds
305,Sabaudia,IT,41.3003,13.0282,77.79,97,3,4.83,clear sky
306,Camacha,PT,33.0833,-16.3333,67.42,73,75,9.22,broken clouds
307,Ixtapa,MX,20.7,-105.2,79.52,93,100,2.53,overcast clouds
308,Floro,NO,61.5996,5.0328,57.16,82,100,4.61,overcast clouds
309,Kardymovo,RU,54.8902,32.4311,56.52,84,2,1.28,clear sky
310,Amahai,ID,-3.3333,128.9167,79.48,71,63,5.97,broken clouds
311,Whitehorse,CA,60.7161,-135.0538,55.02,69,75,11.5,broken clouds
312,Aklavik,CA,68.2191,-135.0107,61.11,73,100,14.5,light rain
313,Ballina,AU,-28.8667,153.5667,62.02,94,98,19.17,overcast clouds
314,Ust-Koksa,RU,50.2696,85.6108,59.7,78,26,1.59,scattered clouds
315,Kibara,TZ,-2.15,33.45,68.31,56,15,13.29,few clouds
316,Kefamenanu,ID,-9.4467,124.4781,77.52,48,72,8.55,broken clouds
317,Tuatapere,NZ,-46.1333,167.6833,47.08,71,11,2.71,few clouds
318,Camacari,BR,-12.6975,-38.3242,76.77,84,100,3.58,overcast clouds
319,Nurota,UZ,40.5614,65.6886,90.09,18,0,11.07,clear sky
320,Chernyshevskiy,RU,63.0128,112.4714,73.78,50,36,6.69,scattered clouds
321,Xining,CN,36.6167,101.7667,63.19,47,0,2.84,clear sky
322,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,61.39,67,75,13.42,broken clouds
323,Karratha,AU,-20.7377,116.8463,74.62,47,0,9.66,clear sky
324,Roccastrada,IT,43.0099,11.1665,75.88,63,0,2.44,clear sky
325,Acapulco,MX,16.8634,-99.8901,81.19,81,64,5.3,broken clouds
326,Zambezi,ZM,-13.5432,23.1047,54.54,57,65,5.66,broken clouds
327,La Ronge,CA,55.1001,-105.2842,57.45,67,100,9.22,overcast clouds
328,Bilibino,RU,68.0546,166.4372,51.44,49,7,7.07,clear sky
329,Skibbereen,IE,51.55,-9.2667,62.11,94,100,13.33,light rain
330,Buraydah,SA,26.326,43.975,84.65,14,69,4.52,broken clouds
331,Hambantota,LK,6.1241,81.1185,79.14,94,20,11.5,few clouds
332,Marawi,PH,7.9986,124.2928,78.82,75,48,2.04,scattered clouds
333,Creston,US,41.0586,-94.3614,83.71,74,0,6.91,clear sky
334,Sinnar,SD,13.5691,33.5672,82.27,59,26,9.28,scattered clouds
335,Pangnirtung,CA,66.1451,-65.7125,50.7,65,64,1.59,broken clouds
336,Andrews,US,32.3187,-102.5457,90.0,33,0,13.8,clear sky
337,Hatillo,PR,18.4863,-66.8254,83.08,80,88,8.99,overcast clouds
338,Dunda,TZ,-8.1167,34.25,54.57,85,0,1.83,clear sky
339,Nanma,CN,36.1817,118.1583,67.1,97,100,7.94,overcast clouds
340,Yulara,AU,-25.2406,130.9889,70.72,24,5,7.65,clear sky
341,Cobija,BO,-11.0267,-68.7692,75.29,59,0,1.83,clear sky
342,Murud,IN,18.3258,72.965,78.96,84,100,8.3,overcast clouds
343,Tomohon,ID,1.3346,124.8392,77.94,70,19,2.8,few clouds
344,Havoysund,NO,70.9963,24.6622,52.03,90,100,15.73,overcast clouds
345,Miri,MY,4.4148,114.0089,82.54,83,20,6.91,few clouds
346,Cabo San Lucas,MX,22.8909,-109.9124,89.51,61,46,1.01,scattered clouds
347,Shipley,GB,53.8333,-1.7667,59.92,90,75,4.61,broken clouds
348,Kota Bahru,MY,6.1333,102.2386,80.55,88,20,2.3,few clouds
