City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
172,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
173,Ariquemes,BR,78.53,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
174,Mao,ES,75.76,clear sky,39.8885,4.2658,ARTIEM Capri
176,Faanui,PF,78.6,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
180,Jiexiu,CN,76.37,clear sky,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
184,Grande Riviere Du Nord,HT,76.82,overcast clouds,19.5833,-72.1833,La Belle Maison
186,Ipixuna,BR,76.48,overcast clouds,-1.7625,-48.8043,Chalé do Mato
190,Chabahar,IR,82.87,overcast clouds,25.2919,60.643,هتل گدروشیا
191,The Valley,AI,82.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
202,Malim,PH,80.13,heavy intensity rain,7.452,123.4312,Malim
203,Uthal,PK,83.01,overcast clouds,25.8072,66.6219,Al-Mustafa Hotel
207,Bonthe,SL,76.35,light rain,7.5264,-12.505,Bonthe Holiday Village
209,Mataram,ID,83.21,few clouds,-8.5833,116.1167,Hotel Santika Mataram
215,Vega De Alatorre,MX,82.17,few clouds,20.0333,-96.6333,Hotel D Luxe
217,Isangel,VU,80.71,moderate rain,-19.55,169.2667,Tanna Lodge
228,Nabire,ID,82.51,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
238,Talnakh,RU,76.21,few clouds,69.4865,88.3972,Talnakh Hotel
242,Sibolga,ID,83.46,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
244,Thunder Bay,CA,76.98,scattered clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
247,Le Vauclin,MQ,78.85,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
249,Ambon,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
257,Shache,CN,86.43,clear sky,38.4167,77.2406,Delong Hotel
259,Bambanglipuro,ID,78.84,overcast clouds,-7.95,110.2833,Puri Brata
260,Abnub,EG,79.02,few clouds,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
262,Asfi,MA,76.21,overcast clouds,32.2994,-9.2372,Hôtel Abda
263,Nichinan,JP,82.08,broken clouds,31.6,131.3667,Guest House Aki
264,Hirara,JP,89.87,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
269,Washington,US,84.9,clear sky,47.5001,-120.5015,Sky Meadows Bed & Breakfast
270,Auki,SB,85.64,clear sky,-8.7676,160.7034,Auki Motel
272,Katsuura,JP,82.36,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
273,Acarau,BR,79.2,scattered clouds,-2.8856,-40.12,castelo pizzaria
281,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
282,Areia Branca,BR,75.42,broken clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
286,Sattahip,TH,86.99,few clouds,12.6664,100.9007,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
288,Kavieng,PG,83.77,light rain,-2.5744,150.7967,Nusa Island Retreat
291,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
294,San Policarpo,PH,85.37,broken clouds,12.1791,125.5072,Agapita M. Nicart
297,Goderich,CA,79.12,scattered clouds,43.7501,-81.7165,Harmony Inn
300,Itarema,BR,79.12,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
303,Gopalpur,IN,82.87,moderate rain,19.2667,84.9167,Gopalpur Palm Resort
305,Sabaudia,IT,77.79,clear sky,41.3003,13.0282,Oasi di Kufra
307,Ixtapa,MX,79.52,overcast clouds,20.7,-105.2,hotel la terminal
310,Amahai,ID,79.48,broken clouds,-3.3333,128.9167,HOTEL ISABELA
316,Kefamenanu,ID,77.52,broken clouds,-9.4467,124.4781,Sokowindo Losmen
318,Camacari,BR,76.77,overcast clouds,-12.6975,-38.3242,Sítio Blasi
324,Roccastrada,IT,75.88,clear sky,43.0099,11.1665,La Melosa Resort & Spa
325,Acapulco,MX,81.19,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
330,Buraydah,SA,84.65,broken clouds,26.326,43.975,Mövenpick Qassim
331,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
332,Marawi,PH,78.82,scattered clouds,7.9986,124.2928,Derogongan Residence
333,Creston,US,83.71,clear sky,41.0586,-94.3614,Supertel Inn & Conference Center
334,Sinnar,SD,82.27,scattered clouds,13.5691,33.5672,بساتين سالمة
336,Andrews,US,90.0,clear sky,32.3187,-102.5457,Days Inn by Wyndham Andrews Texas
337,Hatillo,PR,83.08,overcast clouds,18.4863,-66.8254,El Buen Hotel
341,Cobija,BO,75.29,clear sky,-11.0267,-68.7692,Hotel Obelisco
342,Murud,IN,78.96,overcast clouds,18.3258,72.965,On Point Plaza
343,Tomohon,ID,77.94,few clouds,1.3346,124.8392,Gardenia Country Inn
345,Miri,MY,82.54,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
346,Cabo San Lucas,MX,89.51,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
348,Kota Bahru,MY,80.55,few clouds,6.1333,102.2386,Grand Riverview Hotel
351,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
354,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
364,Yingkou,CN,78.62,light rain,40.6648,122.2283,Yingkou Juyin Junyue Hotel
366,Jiangyan,CN,88.48,broken clouds,32.5061,120.1428,Super 8 Taizhou Jiangyan East Luotang Road
368,Umm Lajj,SA,85.75,few clouds,25.0213,37.2685,Moon light Furnished Units
372,Hailar,CN,77.86,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
373,Pathein,MM,76.69,overcast clouds,16.7833,94.7333,Pathein Hotel
377,Anito,PH,86.77,overcast clouds,12.4497,125.2886,El Felix Cottages
379,San Andres,CO,82.42,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
386,Dingle,PH,85.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
391,Dosso,NE,81.34,overcast clouds,13.049,3.1937,Hotel Toubal
392,Dehui,CN,76.64,overcast clouds,44.5333,125.7,Chunyi Hotel
393,Pangkalanbuun,ID,83.43,scattered clouds,-2.6833,111.6167,Grand Kecubung Hotel
395,Praia,CV,77.54,light intensity drizzle,14.9215,-23.5087,LT Aparthotel
398,Nyurba,RU,75.09,broken clouds,63.2842,118.3319,"Гостиница ""Comfort"""
402,Magway,MM,78.37,overcast clouds,20.15,94.9167,Htein Htein Thar 2
404,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
405,Bubaque,GW,78.37,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
407,Namatanai,PG,85.03,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
409,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
410,Alta Floresta,BR,76.39,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
412,Ciudad Guayana,VE,80.53,broken clouds,8.3533,-62.6528,Hotel Las Americas
413,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
416,Mana,GF,77.54,overcast clouds,5.6592,-53.7767,LE SAMANA
419,Westport,US,80.82,few clouds,41.1415,-73.3579,The Westport Inn
424,Paredon,MX,81.12,overcast clouds,16.0333,-93.8667,Hotel Principal Paredon
427,Birnin Kebbi,NG,77.14,light rain,12.4539,4.1975,Saffar Guest Inn Ltd
429,Espanola,US,86.38,overcast clouds,35.9911,-106.0806,Santa Claran Hotel Casino
430,Noumea,NC,77.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
441,Benghazi,LY,78.15,clear sky,32.1167,20.0667,Tibesti Hotel
446,Portland,US,79.56,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
448,Pangai,TO,75.45,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
449,Tura,IN,80.82,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
454,Honiara,SB,86.86,clear sky,-9.4333,159.95,Heritage Park Hotel
455,Ishurdi,BD,85.77,overcast clouds,24.1333,89.0833,Rafiur Rahman
460,Casteltermini,IT,76.23,clear sky,37.5405,13.6445,Tenuta Lanza Il Mulino
462,Tutoia,BR,78.93,broken clouds,-2.7619,-42.2744,Pousada Guará's
466,Springdale,US,87.06,few clouds,36.1867,-94.1288,Springdale Inn
467,Pombia,IT,78.06,scattered clouds,45.653,8.6336,Albergo Fontana
470,Oyama,JP,88.59,few clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
471,Manokwari,ID,83.14,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
472,Lincoln,US,87.87,few clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
475,Kutum,SD,78.31,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
478,Kiunga,PG,78.57,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
479,Mahibadhoo,MV,82.69,overcast clouds,3.7833,72.9667,Omadhoo Inn
480,Dhidhdhoo,MV,81.48,overcast clouds,6.8833,73.1,Dhidhoo beach
481,Ugoofaaru,MV,81.86,overcast clouds,5.6667,73.0,Ungoofaaru Inn
