City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
149,Darlowo,PL,2022-07-22 17:17:01,54.421,16.4107,66.7,79,25,8.68
150,Leningradskiy,RU,2022-07-22 17:17:01,69.3833,178.4167,32.27,94,97,8.57
151,Hithadhoo,MV,2022-07-22 17:17:02,-0.6,73.0833,81.09,74,100,7.18
152,Puerto Escondido,MX,2022-07-22 17:17:02,15.85,-97.0667,90.43,55,75,6.91
153,Saldanha,ZA,2022-07-22 17:16:13,-33.0117,17.9442,56.12,85,100,3.74
154,Yueyang,CN,2022-07-22 17:17:03,29.3333,113.0919,82.81,74,65,6.98
155,Rawson,AR,2022-07-22 17:13:04,-43.3002,-65.1023,43.65,40,99,7.09
156,Tondano,ID,2022-07-22 17:17:04,1.3038,124.9112,68.09,95,72,2.53
157,Dunedin,NZ,2022-07-22 17:17:04,-45.8742,170.5036,43.81,76,92,1.99
158,Inhambane,MZ,2022-07-22 17:12:52,-23.865,35.3833,67.12,82,1,5.88
159,Bulgan,MN,2022-07-22 17:17:05,48.8125,103.5347,50.76,93,100,4.79
160,Hofn,IS,2022-07-22 17:17:05,64.2539,-15.2082,53.62,87,75,8.05
161,Vao,NC,2022-07-22 17:17:06,-22.6667,167.4833,74.5,87,91,22.57
162,Kushima,JP,2022-07-22 17:17:06,31.4583,131.2333,71.85,87,4,6.24
163,Champerico,GT,2022-07-22 17:12:31,14.3,-91.9167,82.81,75,86,6.64
164,Sistranda,NO,2022-07-22 17:17:07,63.7256,8.834,55.36,81,56,9.22
165,Iztapa,GT,2022-07-22 17:17:08,13.9333,-90.7075,91.45,62,0,9.22
166,Ojinaga,MX,2022-07-22 17:17:08,29.5667,-104.4167,96.57,40,40,6.91
167,Nueve De Julio,AR,2022-07-22 17:17:09,-35.4444,-60.8831,64.24,41,5,6.31
168,Port Hardy,CA,2022-07-22 17:17:09,50.6996,-127.4199,57.81,86,96,6.35
169,Mar Del Plata,AR,2022-07-22 17:13:26,-38.0023,-57.5575,53.62,68,0,5.75
170,Lohja,FI,2022-07-22 17:17:10,60.2486,24.0653,82.67,61,5,7.4
171,Tagusao,PH,2022-07-22 17:17:11,9.1924,117.8141,79.47,84,90,3.78
172,Honningsvag,NO,2022-07-22 17:17:11,70.9821,25.9704,55.15,76,75,14.97
173,Santa Rosa,PH,2022-07-22 17:17:12,14.3122,121.1114,83.01,78,51,5.35
174,Kloulklubed,PW,2022-07-22 17:15:55,7.0419,134.2556,77.5,74,63,10.58
175,Maragogi,BR,2022-07-22 17:17:12,-9.0122,-35.2225,78.26,78,79,11.27
176,Mahon,ES,2022-07-22 17:17:13,39.8885,4.2658,88.36,55,0,10.36
177,Vanimo,PG,2022-07-22 17:17:14,-2.6741,141.3028,76.96,91,60,4.41
